epoch	train_total	val_total	val_pda	lr
5	5.425561	4.942022	0.164732	1.00e-04
10	5.166633	4.886008	0.166518	1.00e-04
15	4.976526	5.088353	0.192472	1.00e-04
20	4.796859	5.003935	0.184060	1.00e-04
25	4.631352	5.075457	0.191938	1.00e-04
30	4.523547	4.964763	0.183282	1.00e-04
35	4.397903	4.970027	0.185700	1.00e-04
40	4.326887	4.951334	0.185774	1.00e-04
45	4.251611	4.959301	0.187460	1.00e-04
50	4.163559	4.957742	0.187381	1.00e-04
55	4.069757	4.854690	0.178922	1.00e-04
60	4.046594	4.880182	0.181499	1.00e-04
65	3.994459	4.828028	0.176388	1.00e-04
70	3.964954	4.833615	0.178096	1.00e-04
75	3.905938	4.809162	0.176808	1.00e-04
80	3.839131	4.868857	0.184404	1.00e-04
85	3.817336	4.770072	0.173904	1.00e-04
90	3.759796	4.817020	0.179978	1.00e-04
95	3.743865	4.736388	0.172926	1.00e-04
100	3.738657	4.808746	0.181286	1.00e-04
105	3.692890	4.773897	0.177146	1.00e-04
epoch	train_total	val_total	val_pda	lr
5	5.426061	4.924719	0.164227	1.00e-04
10	5.163635	4.883643	0.166796	1.00e-04
15	5.011440	4.824165	0.167838	1.00e-04
20	4.842005	4.908974	0.178810	1.00e-04
25	4.649568	4.895911	0.178822	1.00e-04
30	4.503327	4.877315	0.178329	1.00e-04
35	4.411473	4.850271	0.177898	1.00e-04
40	4.312037	4.878046	0.181265	1.00e-04
45	4.241582	4.949232	0.190201	1.00e-04
50	4.123583	4.864050	0.180954	1.00e-04
55	4.090261	4.786853	0.174878	1.00e-04
60	4.034637	4.874642	0.183704	1.00e-04
65	3.968860	4.815620	0.178729	1.00e-04
70	3.918566	4.829273	0.181164	1.00e-04
75	3.871540	4.781203	0.176667	1.00e-04
80	3.856111	4.797872	0.179612	1.00e-04
85	3.821650	4.773080	0.178511	1.00e-04
90	3.789131	4.819887	0.181048	1.00e-04
95	3.766016	4.840433	0.185133	1.00e-04
100	3.714554	4.745851	0.177373	1.00e-04
105	3.676335	4.796078	0.181452	1.00e-04
110	3.647900	4.763970	0.178391	1.00e-04
115	3.639889	4.761479	0.180139	1.00e-04
120	3.596320	4.775296	0.180477	1.00e-04
125	3.578672	4.753157	0.181229	1.00e-04
130	3.561848	4.741160	0.179134	1.00e-04
135	3.533562	4.731727	0.178882	1.00e-04
140	3.515666	4.787573	0.184237	1.00e-04
145	3.502020	4.704927	0.176320	1.00e-04
150	3.482824	4.786100	0.185021	1.00e-04
155	3.450989	4.741564	0.179817	1.00e-04
160	3.432205	4.750029	0.182065	1.00e-04
165	3.413158	4.766579	0.182365	1.00e-04
170	3.406468	4.728205	0.180063	1.00e-04
175	3.370371	4.724728	0.181127	1.00e-04
180	3.371652	4.701021	0.177886	1.00e-04
185	3.355552	4.709630	0.179089	1.00e-04
190	3.334728	4.708727	0.178982	1.00e-04
195	3.337589	4.673585	0.176956	1.00e-04
200	3.319932	4.706393	0.178977	1.00e-04
205	3.294532	4.652813	0.174793	1.00e-04
210	3.280255	4.652245	0.174974	1.00e-04
215	3.276161	4.631683	0.172918	1.00e-04
220	3.268488	4.671558	0.177401	1.00e-04
225	3.253185	4.660337	0.175532	1.00e-04
230	3.236403	4.710911	0.181831	1.00e-04
235	3.225351	4.733745	0.184370	1.00e-04
240	3.206168	4.712273	0.181471	1.00e-04
245	3.218029	4.658620	0.177664	1.00e-04
250	3.195918	4.655976	0.176469	1.00e-04
255	3.180365	4.658166	0.177342	1.00e-04
260	3.173555	4.669687	0.177518	1.00e-04
265	3.182122	4.695084	0.180804	1.00e-04
270	3.182616	4.692483	0.180077	1.00e-04
275	3.144461	4.647976	0.176205	1.00e-04
280	3.155895	4.700741	0.181554	1.00e-04
285	3.118046	4.695228	0.182207	1.00e-04
290	3.124894	4.707489	0.182397	1.00e-04
295	3.125063	4.678434	0.179547	1.00e-04
300	3.097111	4.623493	0.175339	1.00e-04
305	3.118421	4.717083	0.184210	1.00e-04
310	3.079792	4.646167	0.177019	1.00e-04
315	3.084452	4.619849	0.173570	1.00e-04
320	3.078900	4.726991	0.184800	1.00e-04
325	3.079856	4.693862	0.181732	1.00e-04
330	3.057164	4.763760	0.188394	1.00e-04
335	3.076453	4.646414	0.178480	1.00e-04
340	3.039080	4.759422	0.189128	1.00e-04
345	3.034521	4.730138	0.185319	1.00e-04
350	3.046164	4.680196	0.180897	1.00e-04
355	3.042294	4.696953	0.182927	1.00e-04
360	3.044445	4.665566	0.178382	1.00e-04
365	3.018887	4.681208	0.182266	1.00e-04
370	3.004192	4.655655	0.179423	1.00e-04
375	3.009979	4.618969	0.175465	1.00e-04
380	2.996059	4.666596	0.178996	1.00e-04
385	2.995020	4.692784	0.182286	1.00e-04
390	2.992923	4.684462	0.181380	1.00e-04
395	2.996652	4.630577	0.176807	1.00e-04
400	2.975749	4.699415	0.182919	1.00e-04
405	2.982581	4.673497	0.181256	1.00e-04
410	2.974433	4.724549	0.186605	1.00e-04
415	2.981174	4.667666	0.180321	1.00e-04
420	2.965950	4.691213	0.182365	1.00e-04
425	2.972061	4.662051	0.180308	1.00e-04
430	2.954289	4.657270	0.179769	1.00e-04
435	2.950335	4.633619	0.176472	1.00e-04
440	2.948140	4.721734	0.185552	1.00e-04
445	2.951145	4.678122	0.181817	1.00e-04
450	2.960943	4.686932	0.182723	1.00e-04
455	2.945950	4.699897	0.183388	1.00e-04
460	2.941241	4.687762	0.181292	1.00e-04
465	2.927324	4.668236	0.181026	1.00e-04
470	2.931397	4.657962	0.180038	1.00e-04
475	2.925736	4.661518	0.180868	1.00e-04
epoch	train_total	val_total	val_pda	lr
5	5.424878	4.910539	0.162324	1.00e-04
10	5.171582	4.817547	0.161464	1.00e-04
15	5.033635	4.799012	0.162872	1.00e-04
20	4.845724	4.868904	0.170555	1.00e-04
25	4.650907	4.943453	0.181058	1.00e-04
30	4.507874	4.963882	0.181105	1.00e-04
35	4.421759	4.860250	0.172683	1.00e-04
40	4.305793	4.914061	0.179122	1.00e-04
45	4.214209	4.896314	0.179858	1.00e-04
50	4.161121	4.874643	0.178640	1.00e-04
55	4.071907	4.874775	0.177013	1.00e-04
60	4.014031	4.881238	0.180117	1.00e-04
65	3.964142	4.914247	0.183863	1.00e-04
70	3.898239	4.934575	0.187238	1.00e-04
75	3.861863	4.958701	0.189567	1.00e-04
80	3.822674	4.917079	0.185219	1.00e-04
85	3.795010	4.914511	0.186910	1.00e-04
90	3.762150	4.959971	0.190251	1.00e-04
95	3.738036	4.856821	0.182008	1.00e-04
100	3.701413	4.931173	0.190558	1.00e-04
105	3.661639	4.915290	0.187747	1.00e-04
110	3.639433	4.929875	0.191933	1.00e-04
115	3.609893	4.888033	0.186867	1.00e-04
epoch	train_total	val_total	val_pda	lr
5	5.408946	4.906919	0.163833	1.00e-04
10	5.169302	4.820463	0.162557	1.00e-04
15	5.038760	4.789449	0.165296	1.00e-04
20	4.880262	4.859342	0.173825	1.00e-04
25	4.685162	4.869630	0.177535	1.00e-04
30	4.542638	4.939526	0.186598	1.00e-04
35	4.444806	4.888083	0.180110	1.00e-04
40	4.336077	4.832642	0.175545	1.00e-04
45	4.259312	4.932520	0.186523	1.00e-04
50	4.161841	4.851560	0.178523	1.00e-04
55	4.084639	4.821026	0.176409	1.00e-04
60	4.027403	4.866228	0.179833	1.00e-04
