subject,target,ttype,mode,window,r
dmnelf016,CEN,orig,best,fb,-0.26772107226923897
dmnelf016,CEN,orig,frontal,fb,-0.04197642004764616
dmnelf016,CEN,orig,all,fb,-0.02406498884510692
dmnelf016,CEN,orig,epoc,fb,-0.036979836192028936
dmnelf016,CEN,orig,epoc_afproxy,fb,0.02456821189716083
dmnelf016,DMN,orig,best,fb,0.14768748839060014
dmnelf016,DMN,orig,frontal,fb,0.1225490987529382
dmnelf016,DMN,orig,all,fb,0.25162611018107367
dmnelf016,DMN,orig,epoc,fb,0.3402066235422921
dmnelf016,DMN,orig,epoc_afproxy,fb,0.331720729822214
dmnelf016,PDA,orig,best,fb,0.16042814266938418
dmnelf016,PDA,orig,frontal,fb,0.17875689357675342
dmnelf016,PDA,orig,all,fb,0.14659538193594096
dmnelf016,PDA,orig,epoc,fb,0.24248923190792226
dmnelf016,PDA,orig,epoc_afproxy,fb,0.19466051620609945
dmnelf016,CEN,clean,best,fb,-0.04495244676880117
dmnelf016,CEN,clean,frontal,fb,0.020919263288297546
dmnelf016,CEN,clean,all,fb,-0.0053717150500424155
dmnelf016,CEN,clean,epoc,fb,0.02093558510841909
dmnelf016,CEN,clean,epoc_afproxy,fb,0.0032253157676425757
