epoch	train_total	val_total	val_pda	lr
5	5.398701	5.405968	0.238551	1.00e-04
10	5.126001	5.349920	0.240378	1.00e-04
15	4.938755	5.613611	0.268061	1.00e-04
20	4.745751	5.639336	0.271203	1.00e-04
25	4.585681	5.632710	0.272967	1.00e-04
30	4.441495	5.825623	0.294278	1.00e-04
35	4.365392	5.921631	0.305823	1.00e-04
40	4.249463	5.936205	0.307727	1.00e-04
45	4.169539	5.919525	0.306752	1.00e-04
50	4.110060	5.940517	0.309438	1.00e-04
55	4.038355	6.015174	0.318262	1.00e-04
60	3.995160	5.911428	0.309983	1.00e-04
65	3.947493	5.883898	0.306648	1.00e-04
70	3.900847	5.820346	0.302347	1.00e-04
75	3.848695	5.762241	0.296245	1.00e-04
80	3.818162	5.770191	0.298546	1.00e-04
85	3.774351	5.701052	0.291957	1.00e-04
90	3.723693	5.573746	0.279030	1.00e-04
95	3.688738	5.856690	0.307487	1.00e-04
100	3.670581	5.616367	0.285802	1.00e-04
105	3.641938	5.895759	0.312802	1.00e-04
epoch	train_total	val_total	val_pda	lr
5	5.369410	5.388521	0.237319	1.00e-04
10	5.127434	5.428351	0.248238	1.00e-04
15	4.944038	5.345311	0.244316	1.00e-04
20	4.735294	5.567944	0.266302	1.00e-04
25	4.577444	5.609657	0.269939	1.00e-04
30	4.456768	5.686554	0.278961	1.00e-04
35	4.371985	5.679530	0.278981	1.00e-04
40	4.261910	5.760147	0.289429	1.00e-04
45	4.189484	5.566507	0.271005	1.00e-04
50	4.120797	5.589476	0.274208	1.00e-04
55	4.056615	5.652529	0.280265	1.00e-04
60	4.001363	5.633348	0.279730	1.00e-04
65	3.968310	5.491785	0.267735	1.00e-04
70	3.909680	5.533799	0.270864	1.00e-04
75	3.875883	5.471068	0.265060	1.00e-04
80	3.828375	5.469288	0.264850	1.00e-04
85	3.772743	5.504842	0.269497	1.00e-04
90	3.752245	5.469828	0.264830	1.00e-04
95	3.736494	5.537183	0.273240	1.00e-04
100	3.700922	5.469397	0.267905	1.00e-04
105	3.645589	5.450802	0.264587	1.00e-04
