epoch	train_total	val_total	val_pda	lr
5	5.356710	5.855416	0.264791	1.00e-04
10	5.126030	5.771285	0.263293	1.00e-04
15	4.949032	5.689981	0.261742	1.00e-04
20	4.779964	5.672664	0.264829	1.00e-04
25	4.637442	5.818904	0.279233	1.00e-04
30	4.511290	5.741453	0.273760	1.00e-04
35	4.408443	5.804661	0.280701	1.00e-04
40	4.309266	5.731117	0.275923	1.00e-04
45	4.224825	5.751778	0.278195	1.00e-04
50	4.158668	5.672703	0.272513	1.00e-04
55	4.092837	5.684370	0.274024	1.00e-04
60	4.000714	5.684458	0.273950	1.00e-04
65	3.938419	5.696890	0.277129	1.00e-04
70	3.912680	5.639824	0.271911	1.00e-04
75	3.887051	5.721844	0.280662	1.00e-04
80	3.827932	5.745556	0.283274	1.00e-04
85	3.823237	5.771353	0.284740	1.00e-04
90	3.760581	5.719347	0.280576	1.00e-04
95	3.754074	5.689240	0.279575	1.00e-04
100	3.690138	5.715617	0.281634	1.00e-04
105	3.666852	5.711580	0.282290	1.00e-04
110	3.670934	5.785922	0.288977	1.00e-04
115	3.620443	5.682044	0.279488	1.00e-04
epoch	train_total	val_total	val_pda	lr
5	5.366127	5.869037	0.263445	1.00e-04
10	5.121137	5.741110	0.261586	1.00e-04
15	4.955824	5.707091	0.264777	1.00e-04
20	4.763279	5.658801	0.264012	1.00e-04
25	4.606493	5.741647	0.273126	1.00e-04
30	4.455408	5.721396	0.273046	1.00e-04
35	4.355664	5.668828	0.269074	1.00e-04
40	4.246121	5.697200	0.272579	1.00e-04
45	4.164009	5.660082	0.271052	1.00e-04
50	4.072759	5.713712	0.277928	1.00e-04
55	4.030470	5.731450	0.279715	1.00e-04
60	3.976677	5.716729	0.277497	1.00e-04
65	3.933533	5.632625	0.269757	1.00e-04
70	3.865317	5.703312	0.277881	1.00e-04
75	3.794463	5.724025	0.280861	1.00e-04
80	3.778485	5.660980	0.275224	1.00e-04
85	3.731392	5.667117	0.275304	1.00e-04
90	3.695603	5.686787	0.278174	1.00e-04
95	3.675128	5.615175	0.271931	1.00e-04
100	3.642296	5.575714	0.268199	1.00e-04
105	3.621424	5.666180	0.276967	1.00e-04
110	3.580776	5.710983	0.281781	1.00e-04
115	3.558624	5.640656	0.275524	1.00e-04
120	3.513835	5.569096	0.268652	1.00e-04
125	3.484758	5.509570	0.263053	1.00e-04
130	3.471837	5.578891	0.269147	1.00e-04
135	3.460454	5.549795	0.267543	1.00e-04
140	3.433257	5.552342	0.267393	1.00e-04
145	3.424648	5.482382	0.260406	1.00e-04
150	3.399321	5.591154	0.271164	1.00e-04
155	3.358469	5.488689	0.261572	1.00e-04
160	3.382366	5.484427	0.261272	1.00e-04
165	3.374785	5.433963	0.257582	1.00e-04
170	3.349556	5.424436	0.256297	1.00e-04
175	3.343512	5.469350	0.259760	1.00e-04
180	3.307954	5.462490	0.259689	1.00e-04
185	3.292096	5.414243	0.256754	1.00e-04
190	3.284906	5.523693	0.265277	1.00e-04
195	3.270722	5.436344	0.257944	1.00e-04
200	3.256190	5.444769	0.259151	1.00e-04
205	3.248071	5.405298	0.255547	1.00e-04
210	3.230455	5.459469	0.261330	1.00e-04
215	3.233568	5.429483	0.257596	1.00e-04
220	3.218070	5.427518	0.257863	1.00e-04
225	3.201551	5.502616	0.265302	1.00e-04
230	3.180223	5.448325	0.259275	1.00e-04
235	3.169525	5.462629	0.261849	1.00e-04
240	3.158822	5.501650	0.264934	1.00e-04
245	3.145630	5.430411	0.258726	1.00e-04
250	3.139850	5.421015	0.258906	1.00e-04
255	3.124663	5.437393	0.260568	1.00e-04
260	3.138242	5.484560	0.264155	1.00e-04
265	3.115861	5.444157	0.261225	1.00e-04
270	3.101505	5.542173	0.271017	1.00e-04
275	3.108642	5.459774	0.262866	1.00e-04
280	3.104064	5.408995	0.258332	1.00e-04
285	3.083780	5.447075	0.262778	1.00e-04
290	3.081591	5.469372	0.264247	1.00e-04
295	3.061982	5.460497	0.263516	1.00e-04
300	3.048172	5.429394	0.260945	1.00e-04
305	3.055213	5.440665	0.262546	1.00e-04
epoch	train_total	val_total	val_pda	lr
5	5.370413	5.895033	0.264746	1.00e-04
10	5.114095	5.766566	0.266081	1.00e-04
15	4.951052	5.684307	0.260983	1.00e-04
20	4.727352	5.642974	0.257775	1.00e-04
25	4.525278	5.621894	0.258221	1.00e-04
30	4.399139	5.638515	0.260850	1.00e-04
35	4.292974	5.672661	0.267394	1.00e-04
40	4.216901	5.608549	0.260980	1.00e-04
45	4.139466	5.641873	0.266265	1.00e-04
50	4.057883	5.698882	0.271589	1.00e-04
55	3.991330	5.682479	0.272418	1.00e-04
60	3.947816	5.631141	0.268751	1.00e-04
65	3.897132	5.647555	0.270667	1.00e-04
70	3.852827	5.704211	0.275656	1.00e-04
75	3.822148	5.610567	0.267555	1.00e-04
80	3.771770	5.688106	0.275872	1.00e-04
85	3.718013	5.710833	0.278873	1.00e-04
90	3.710299	5.618764	0.270407	1.00e-04
95	3.662567	5.652744	0.274320	1.00e-04
100	3.648204	5.688651	0.277804	1.00e-04
105	3.616728	5.660192	0.275129	1.00e-04
110	3.581981	5.691519	0.278789	1.00e-04
115	3.561991	5.737780	0.283382	1.00e-04
120	3.530483	5.607279	0.270173	1.00e-04
125	3.516531	5.649525	0.275986	1.00e-04
130	3.494319	5.645499	0.275084	1.00e-04
135	3.453408	5.600333	0.271116	1.00e-04
140	3.449505	5.691485	0.279653	1.00e-04
145	3.439195	5.631155	0.274497	1.00e-04
150	3.404312	5.596034	0.271780	1.00e-04
155	3.375333	5.602268	0.272649	1.00e-04
160	3.393387	5.658224	0.277382	1.00e-04
165	3.365295	5.648522	0.276549	1.00e-04
170	3.345379	5.602528	0.271514	1.00e-04
175	3.343274	5.609861	0.273317	1.00e-04
180	3.307265	5.594122	0.273423	1.00e-04
185	3.310118	5.559284	0.270232	1.00e-04
190	3.278313	5.570754	0.270330	1.00e-04
195	3.270046	5.589117	0.272322	1.00e-04
200	3.255802	5.609382	0.274738	1.00e-04
205	3.243089	5.586053	0.273502	1.00e-04
210	3.221933	5.591008	0.273964	1.00e-04
215	3.225461	5.551586	0.269878	1.00e-04
220	3.229567	5.571826	0.271889	1.00e-04
225	3.206427	5.542110	0.269978	1.00e-04
230	3.196256	5.581370	0.272593	1.00e-04
235	3.193339	5.530202	0.268530	1.00e-04
240	3.171798	5.566003	0.272698	1.00e-04
245	3.147596	5.555180	0.270714	1.00e-04
250	3.161164	5.555794	0.271977	1.00e-04
255	3.132674	5.547012	0.270947	1.00e-04
260	3.113125	5.544466	0.271537	1.00e-04
265	3.136680	5.525718	0.269554	1.00e-04
270	3.115479	5.569424	0.273453	1.00e-04
275	3.107752	5.550072	0.271909	1.00e-04
280	3.097487	5.553038	0.271971	1.00e-04
285	3.085868	5.518552	0.269864	1.00e-04
290	3.092426	5.520535	0.268594	1.00e-04
295	3.078411	5.565363	0.274326	1.00e-04
300	3.079026	5.514747	0.268726	1.00e-04
305	3.077716	5.485743	0.266249	1.00e-04
310	3.050147	5.508633	0.268295	1.00e-04
315	3.031788	5.512687	0.267589	1.00e-04
320	3.059018	5.548511	0.271286	1.00e-04
325	3.020676	5.489328	0.267166	1.00e-04
330	3.026342	5.485503	0.264725	1.00e-04
335	3.016150	5.506762	0.268696	1.00e-04
340	3.019224	5.547432	0.272597	1.00e-04
345	3.005690	5.531750	0.270938	1.00e-04
350	3.010698	5.548523	0.272700	1.00e-04
355	2.992179	5.487505	0.267011	1.00e-04
